epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.590891039,0.7614916509,0.7512489625,1.133699089,0,0,1.762413795,0.902628917,0.7980540211,0.2075797391,0.001604980053,0.001,29.8173284
1,1.258980717,0.5982879549,0.6076568602,0.7693721903,0,0,1.053696889,0.4775503049,0.5274722439,0.1703076906,0.001211120789,0.0009999845942,30.34352389
2,1.108398229,0.5211074962,0.5395656811,0.6923292733,0,0,1.053387371,0.4747886406,0.5333516896,0.1553331954,0.001139167212,0.0009999383779,27.98234954
3,0.994546981,0.4567536238,0.4957908121,0.6093151861,0,0,0.8934364456,0.3942793103,0.4540354587,0.1609898438,0.001041486897,0.0009998613539,29.44035093
4,0.9788120077,0.4501913305,0.4815799174,0.6824026833,0,0,1.110063117,0.5750627036,0.4919262689,0.155418205,0.001015050057,0.0009997535269,29.13477193
5,1.082518716,0.5183379738,0.5246191614,0.5739050995,0,0,1.02465415,0.4790402536,0.4891413244,0.1759117249,0.001509920117,0.0009996149036,28.92058519
6,0.9256249693,0.4301562973,0.4561217468,0.5707909892,0,0,0.918126982,0.4243211586,0.4472216024,0.1681613796,0.001124100881,0.0009994454925,29.33944302
7,0.814291805,0.3553357517,0.4187728973,0.5829220492,0,0,0.8377775596,0.3639999284,0.434812438,0.1454980543,0.0008959449269,0.0009992453042,28.99693639
8,0.8378496211,0.373734968,0.4242538044,0.5782464363,0,0,0.9608365848,0.4914672512,0.4330480053,0.149259587,0.0007277551433,0.0009990143508,28.98617998
9,0.7851874178,0.355674345,0.3953710429,0.495285677,0,0,0.7709701543,0.3301944045,0.3981769543,0.128185653,0.001196279796,0.0009987526468,29.34051365
10,0.8108807193,0.3541092243,0.4135104174,0.627572273,0,0,0.8263502579,0.3793280606,0.4087492996,0.1219156007,0.001018042956,0.0009984602082,29.26795466
11,0.7175355499,0.3178503984,0.3686831952,0.4497339062,0,0,0.7047409415,0.3138731569,0.363130213,0.1171574677,0.0005437365826,0.0009981370531,29.11318542
12,0.8573290936,0.4062352042,0.4187859656,0.4686789011,0,0,0.7358371707,0.3277095098,0.3801209285,0.1094716873,0.0005822611647,0.0009977832013,29.0512805
13,0.7035617781,0.3143478923,0.3584294089,0.4465788373,0,0,1.157380796,0.6656812475,0.4598308916,0.1074652186,0.0008028129721,0.0009973986748,29.07435267
14,0.746089388,0.3498685604,0.3705223,0.3727988828,0,0,1.021729721,0.5589541243,0.4347081918,0.1006211353,0.0006721830834,0.0009969834972,29.05228389
15,0.8204207637,0.3865088661,0.4065199013,0.3973654529,0,0,0.8360904409,0.3609554836,0.4317622552,0.1400959227,0.001136069782,0.0009965376942,29.00087887
16,0.6686450297,0.2926205911,0.3468044878,0.4238829159,0,0,0.6300089887,0.2635549525,0.3409478447,0.08101905506,0.0006916249031,0.0009960612933,29.11698692
17,0.6031247093,0.2625334598,0.3159286966,0.3577704135,0,0,0.6475052948,0.2785270627,0.3434901673,0.1099321668,0.00047136412,0.0009955543238,29.12777864
18,0.6071203575,0.2505728071,0.3259224255,0.4442671951,0,0,0.5059860968,0.2155116544,0.2644036745,0.09389800481,0.0005921608303,0.000995016817,29.11688772
19,0.5716938715,0.2534324286,0.2913789336,0.3899745023,0,0,0.6147345052,0.2753390486,0.3176614172,0.07858225077,0.0005180435628,0.0009944488061,29.09780561
20,0.5772763267,0.2553599666,0.2953152633,0.3858921663,0,0,0.5669024541,0.2387413898,0.3041066573,0.09228967788,0.0005505544646,0.0009938503261,29.12869285
21,0.5711207004,0.2533709444,0.2867686498,0.4494312931,0,0,0.5033474679,0.2131844129,0.2725913857,0.06268270636,0.0004218872031,0.000993221414,29.09608436
22,0.5814879279,0.2676846822,0.2943620932,0.2820254757,0,0,0.502119924,0.213572211,0.2690038887,0.06072534136,0.0005247440701,0.0009925621084,29.14811488
23,0.5191567859,0.2298361498,0.2694859237,0.2877347581,0,0,0.4873039516,0.1824032034,0.272025443,0.1080790752,0.0008619319648,0.0009918724502,29.35966647
24,0.4693069268,0.2095955756,0.2339846648,0.373207435,0,0,0.7813315827,0.3556481359,0.4054479622,0.07870769966,0.0004454591637,0.0009911524817,29.33554731
25,0.5828314173,0.2667854303,0.2962423522,0.2872837975,0,0,0.4141390255,0.1768982067,0.2158486018,0.08066504784,0.0004997005174,0.0009904022476,29.2452256
26,0.6659081294,0.2948541384,0.3416904523,0.4259658781,0,0,0.5568688283,0.2650557779,0.2725217583,0.07578549042,0.0004163686559,0.0009896217939,29.18230472
27,0.4499621154,0.2022159558,0.2271229127,0.299173748,0,0,0.4459666014,0.2039988075,0.2261736886,0.06262169125,0.0003177152667,0.0009888111689,29.15935772
28,0.5004357492,0.2264984548,0.2574003661,0.2398950109,0,0,0.5108839892,0.2314663151,0.2592277447,0.06754672499,0.0005173604935,0.0009879704226,29.15353706
29,0.4332926964,0.1893335677,0.2239451767,0.2903349149,0,0,0.414184607,0.1754757716,0.2175323562,0.07125226412,0.0005448541511,0.0009870996068,29.12245471
30,0.4693525068,0.2102524709,0.2391083356,0.2900120548,0,0,0.399043411,0.171661087,0.2056297706,0.0868695515,0.0004485300276,0.0009861987752,29.17071094
31,0.4377515783,0.1946692311,0.2263415943,0.2428519045,0,0,0.5644369836,0.2273952709,0.322212876,0.05099500678,0.0003658411466,0.0009852679835,29.29418755
32,0.4700173085,0.2060924665,0.2443986901,0.283258622,0,0,0.4220168613,0.1766276898,0.2237668897,0.07172053494,0.000539865871,0.000984307289,29.23806587
33,0.4393372363,0.1796624484,0.233426755,0.3807703663,0,0,0.5610559216,0.2203139181,0.3126594321,0.08980204191,0.000740086576,0.000983316751,29.13266864
34,0.4978527528,0.221501941,0.2496945235,0.386692737,0,0,0.5494658305,0.2310906798,0.2888755145,0.09946849294,0.0007519916072,0.0009822964305,29.17845138
35,0.4992943372,0.2299648334,0.2488016425,0.2977900261,0,0,0.4276843071,0.1899639093,0.2234487832,0.04813063089,0.00035737094,0.0009812463906,29.14869153
36,0.5134086927,0.2380616484,0.2530075071,0.3240713819,0,0,0.4117306242,0.1544355549,0.2435515603,0.04621568972,0.000353061026,0.000980166696,29.18873253
37,0.5564998442,0.2610715367,0.2763998813,0.2760382135,0,0,0.4971579313,0.24208063,0.2354449125,0.05417016085,0.0005848109443,0.0009790574133,29.19546319
38,0.5361125889,0.2600244402,0.253873544,0.3222589544,0,0,0.5989471697,0.2833338575,0.2936687412,0.07330503933,0.0005504532997,0.0009779186109,29.25600066
39,0.438162253,0.2073881616,0.213758214,0.2468430036,0,0,0.3717353527,0.167495484,0.1829634813,0.07374958746,0.0005343167903,0.0009767503591,29.23890532
40,0.4190474722,0.201588416,0.201232013,0.2353996404,0,0,0.3802901185,0.1674419533,0.1977420713,0.0379918443,0.0004648435395,0.0009755527299,29.16453979
41,0.4128313816,0.1743891493,0.2187501524,0.2856656228,0,0,0.4523759851,0.1853081859,0.2418153229,0.06020236094,0.0008064740337,0.0009743257972,29.1927896
42,0.3812952787,0.1641448851,0.1987669092,0.2666823048,0,0,0.3611033971,0.168143669,0.1724096938,0.06411688868,0.0005283276318,0.0009730696367,29.22212903
43,0.4224138788,0.1943566843,0.2121530714,0.2307151522,0,0,0.5196594367,0.2493533034,0.2590327446,0.03863517012,0.0002720002364,0.0009717843259,29.17062302
44,0.4479756538,0.2078196899,0.2229269381,0.249935037,0,0,0.3778368395,0.1550253228,0.2075628764,0.0540039012,0.0003528913716,0.0009704699441,29.1617478
