epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.551470773,0.739977949,0.7487077225,1.01707335,0,0,1.451903407,0.6830390967,0.7241707444,0.2003148259,0.001872046101,0.001,27.49690987
1,1.262745906,0.5868175815,0.6350030709,0.6629597951,0,0,1.228829045,0.5814029047,0.6086889918,0.1756444189,0.001616879916,0.0009999845942,29.08614534
2,1.196589757,0.5679336996,0.5929936712,0.5777049451,0,0,1.144465002,0.5388743832,0.5708110883,0.1507595928,0.001515873908,0.0009999383779,27.49208382
3,1.062655055,0.4922741719,0.5342502519,0.5852901346,0,0,0.8764061974,0.3733980266,0.4701193732,0.1530794142,0.001322507984,0.0009998613539,26.81831966
4,0.918969787,0.4157728052,0.4696517871,0.5434080579,0,0,0.8428358802,0.3648887964,0.4400307536,0.1623129212,0.001657594903,0.0009997535269,27.72967691
5,0.8818388988,0.4038628404,0.4464439323,0.5107977814,0,0,1.099541247,0.505923732,0.5645055404,0.1552418151,0.001013637106,0.0009996149036,27.77342644
6,0.9264485985,0.4092917974,0.4872238744,0.4848919342,0,0,1.039656855,0.4625933858,0.5376656858,0.16159083,0.001824382455,0.0009994454925,27.59754449
7,0.8983899355,0.4110779651,0.4534134682,0.5491312329,0,0,0.9327059755,0.4254606779,0.4777907935,0.1430463467,0.001140462928,0.0009992453042,27.47776137
8,0.8371779038,0.3860642507,0.4209744355,0.488233487,0,0,0.8904656034,0.3914846411,0.4685739554,0.1391223166,0.001253703684,0.0009990143508,27.39075075
9,0.7808802778,0.3447706351,0.4089805375,0.4394720278,0,0,0.8315981214,0.3573748446,0.4412856927,0.1520287564,0.001323768524,0.0009987526468,27.55241633
10,0.7903731262,0.3598052212,0.4050179713,0.4138904698,0,0,0.9258216528,0.4007170063,0.5009711843,0.1204051995,0.0009014860634,0.0009984602082,27.70408278
11,0.7570630217,0.3457233195,0.3856121999,0.4167669856,0,0,0.8326502259,0.3280139634,0.4744546505,0.1362856308,0.00123865677,0.0009981370531,27.85963883
12,0.9857006493,0.46235754,0.4952787364,0.4546225603,0,0,1.010285391,0.5007459177,0.4818251683,0.1285982761,0.001155476621,0.0009977832013,27.87375238
13,0.8416539106,0.3801337311,0.4240948375,0.606263519,0,0,0.7384219995,0.3109142964,0.3951239368,0.1651314393,0.001147816856,0.0009973986748,27.75672626
14,0.6629641672,0.294272756,0.344483383,0.3921526193,0,0,0.8832994745,0.4013071954,0.4591260507,0.108972066,0.0008982802788,0.0009969834972,27.72362997
15,0.7092519755,0.3057652346,0.379874944,0.382494032,0,0,0.9180522744,0.4061575188,0.4737681632,0.1947661293,0.001370900874,0.0009965376942,27.73480977
16,0.8486068032,0.3828213828,0.4350891967,0.4972567206,0,0,0.8638843756,0.369039994,0.4662620494,0.1242049532,0.001214917828,0.0009960612933,27.74315794
17,0.7377548529,0.3290042024,0.3810864721,0.4481398934,0,0,0.7220909183,0.3289790406,0.3675091817,0.132612629,0.0009226709511,0.0009955543238,27.73095711
18,0.6407795731,0.2923956303,0.3263566718,0.3568258749,0,0,0.7445212969,0.3006616074,0.4135991564,0.1405096052,0.001227462227,0.000995016817,27.75283736
19,0.5811112347,0.2503021779,0.3088146099,0.3562942791,0,0,0.5579301875,0.221383904,0.3179797691,0.09264307559,0.0006798748346,0.0009944488061,27.72399477
20,0.5859337097,0.2579821711,0.3072109971,0.335981836,0,0,0.5794039071,0.2439292841,0.3151745682,0.1010305845,0.0007711722422,0.0009938503261,27.7551265
21,0.6190525517,0.2793930376,0.3221492219,0.2836541422,0,0,0.6326361872,0.2936237959,0.3164064449,0.1050154109,0.0009219341958,0.000993221414,27.92711322
22,0.6418986077,0.2906696732,0.3320228837,0.3111241939,0,0,0.7631003994,0.3256083612,0.4133121876,0.08328435078,0.001252870113,0.0009925621084,27.93916843
23,0.610824818,0.278867705,0.3102391474,0.351815393,0,0,0.8002520387,0.3464963276,0.4336397602,0.09869978637,0.0007726879185,0.0009918724502,27.84352128
24,0.5530380525,0.2479423122,0.2864012048,0.3028379445,0,0,0.562303997,0.2430018221,0.2964795633,0.1117236583,0.0008452616446,0.0009911524817,27.7767124
25,0.5238918588,0.2251301537,0.2790128538,0.3199171221,0,0,0.6549407473,0.2925277169,0.3396132451,0.08920106992,0.001087412001,0.0009904022476,27.79124674
26,0.5848016448,0.257564649,0.3075196496,0.31940676,0,0,0.5075730681,0.2130062614,0.2698621612,0.1249385891,0.000898125004,0.0009896217939,27.72688676
27,0.5051429712,0.2308029515,0.2579667101,0.2652357671,0,0,0.4845101283,0.224056323,0.245631179,0.06693587758,0.0006262501795,0.0009888111689,27.75319937
28,0.4900214659,0.2239411527,0.2488790293,0.2786484273,0,0,0.4404425277,0.1929390625,0.2355045332,0.05351576336,0.0005150948046,0.0009879704226,27.70482173
29,0.4108705954,0.180743073,0.2129752006,0.2778552652,0,0,0.5455173483,0.2429681248,0.2808949695,0.09083117448,0.000954793375,0.0009870996068,27.72022174
30,0.4600251473,0.2029087638,0.2367957353,0.3291798505,0,0,0.4467471723,0.1824945223,0.2394702847,0.1358828496,0.0008223424805,0.0009861987752,27.7547124
31,0.4356591857,0.1889917354,0.2299914265,0.2701395564,0,0,0.4730401498,0.2085144176,0.2479848311,0.06550101466,0.0007674020063,0.0009852679835,27.71333112
32,0.4655850313,0.2081960389,0.2420684225,0.2481822077,0,0,0.3805722227,0.1602530904,0.2059746648,0.07395309098,0.0005177335022,0.000984307289,27.76055404
33,0.4554299848,0.2051464275,0.2316767543,0.3014167659,0,0,0.4473158855,0.1891447466,0.2362016588,0.0897648254,0.0009573107352,0.000983316751,27.78551332
34,0.5112650469,0.2307791334,0.2621097399,0.297680762,0,0,0.4882534605,0.191383316,0.2787020997,0.06174761556,0.0009391614283,0.0009822964305,27.77000625
35,0.4417204193,0.1921953054,0.2333030633,0.2627854997,0,0,0.416108152,0.1706016986,0.2301427332,0.0746259129,0.0005906934151,0.0009812463906,27.78108657
36,0.4445232898,0.2016976577,0.2284859443,0.2322925907,0,0,0.4508404892,0.1650686287,0.27205119,0.04497468963,0.0007285012538,0.000980166696,27.78994109
